id,note,text_ko,text_en,text_zh,text_ja
rabbit.yut,옥토끼 윷,윷이군. 다시.,Yut. Throw again.,,
rabbit.mo,옥토끼 모,모군. 다시.,Mo. Throw again.,,
rabbit.baekdo,옥토끼 빽도,빽도. 뒤로 돌아가요!,Baekdo. Go back!,,
rabbit.steps,옥토끼 도/개/걸 — {result} {steps},{result}. {steps}칸 이동할 수 있어요!,{result}. Move {steps} spaces!,,
rabbit.finished,옥토끼 완주 직후(동),먼저 들어왔어요!,I'm in first!,,
rabbit.cheer,옥토끼 완주 후 던지기 — {result},{result}. 남은 요괴 차례예요!,{result}. The others' turn!,,
rabbit.urge_finish,옥토끼 완주 후·남은 말 완주 가능,"저 친구, 완주할 수 있어요!",That friend can finish!,,
candidate.treasure,후보 말 보물칸,보물상자로 갈 수 있어.,I can reach the treasure.,,
candidate.offering,후보 말 공양물칸,공양물을 얻을 수 있어.,I can get an offering.,,
candidate.coin,후보 말 엽전칸,엽전을 얻을 수 있어.,I can get coins.,,
candidate.capture,후보 말 이무기 잡기,이무기 님을 잡을 수 있어.,I can catch Imugi.,,
candidate.stack,후보 말 업기 — {ally},{ally}와 업을 수 있어.,I can stack with {ally}.,,
candidate.finish,후보 말 완주,완주할 수 있어.,I can finish.,,
event.captured,잡힘,으악!! 잡혀버렸어요!,Ack!! I got caught!,,
event.revived,되살림,되살아났어요!,I'm back!,,
event.opponent_caught,이무기 잡힘,"크윽...! 방심했다, 한 번 더 던지거라!",Guh...! Careless. Throw once more!,,
opponent.throw,이무기 결과 — {result},{result}!,{result}!,,
opponent.lapped,이무기 한 바퀴(참 통과),지루하군.,How dull.,,
